comparison,g1,g2,feature,delta,magnitude
Fmn_vs_Iso,Fmn,Iso,night_sleep_mean_Z,1.0,large
Fmn_vs_Iso,Fmn,Iso,total_sleep_mean_Z,1.0,large
Fmn_vs_Iso,Fmn,Iso,frag_bouts_per_min_sleep_mean_Z,-0.5,large
Fmn_vs_Iso,Fmn,Iso,max_bout_mean_Z,0.8333333333333334,large
Fmn_vs_Iso,Fmn,Iso,P_wake_mean_Z,-0.5,large
Fmn_vs_Iso,Fmn,Iso,mean_bout_mean_Z,0.5,large
Fmn_vs_Iso,Fmn,Iso,max_night_bout_mean_Z,0.8333333333333334,large
Fmn_vs_Iso,Fmn,Iso,mean_night_bout_mean_Z,0.3333333333333333,medium
Fmn_vs_Iso,Fmn,Iso,sleep_latency_mean_Z,-0.3333333333333333,medium
Fmn_vs_Iso,Fmn,Iso,mean_wake_bout_mean_Z,-1.0,large
Fmn_vs_Rye,Fmn,Rye,night_sleep_mean_Z,1.0,large
Fmn_vs_Rye,Fmn,Rye,total_sleep_mean_Z,1.0,large
Fmn_vs_Rye,Fmn,Rye,frag_bouts_per_min_sleep_mean_Z,0.5,large
Fmn_vs_Rye,Fmn,Rye,max_bout_mean_Z,0.0,negligible
Fmn_vs_Rye,Fmn,Rye,P_wake_mean_Z,0.5,large
Fmn_vs_Rye,Fmn,Rye,mean_bout_mean_Z,-0.3333333333333333,medium
Fmn_vs_Rye,Fmn,Rye,max_night_bout_mean_Z,0.0,negligible
Fmn_vs_Rye,Fmn,Rye,mean_night_bout_mean_Z,-0.3333333333333333,medium
Fmn_vs_Rye,Fmn,Rye,sleep_latency_mean_Z,-1.0,large
Fmn_vs_Rye,Fmn,Rye,mean_wake_bout_mean_Z,-0.6666666666666666,large
Fmn_vs_SSS,Fmn,SSS,night_sleep_mean_Z,-0.7142857142857143,large
Fmn_vs_SSS,Fmn,SSS,total_sleep_mean_Z,-0.7142857142857143,large
Fmn_vs_SSS,Fmn,SSS,frag_bouts_per_min_sleep_mean_Z,0.6428571428571429,large
Fmn_vs_SSS,Fmn,SSS,max_bout_mean_Z,-0.6428571428571429,large
Fmn_vs_SSS,Fmn,SSS,P_wake_mean_Z,0.6428571428571429,large
Fmn_vs_SSS,Fmn,SSS,mean_bout_mean_Z,-0.5714285714285714,large
Fmn_vs_SSS,Fmn,SSS,max_night_bout_mean_Z,-0.6428571428571429,large
Fmn_vs_SSS,Fmn,SSS,mean_night_bout_mean_Z,-0.6428571428571429,large
Fmn_vs_SSS,Fmn,SSS,sleep_latency_mean_Z,0.2857142857142857,small
Fmn_vs_SSS,Fmn,SSS,mean_wake_bout_mean_Z,0.14285714285714285,negligible
Iso_vs_Rye,Iso,Rye,night_sleep_mean_Z,-0.5555555555555556,large
Iso_vs_Rye,Iso,Rye,total_sleep_mean_Z,-1.0,large
Iso_vs_Rye,Iso,Rye,frag_bouts_per_min_sleep_mean_Z,0.7777777777777778,large
Iso_vs_Rye,Iso,Rye,max_bout_mean_Z,-0.7777777777777778,large
Iso_vs_Rye,Iso,Rye,P_wake_mean_Z,0.7777777777777778,large
Iso_vs_Rye,Iso,Rye,mean_bout_mean_Z,-0.5555555555555556,large
Iso_vs_Rye,Iso,Rye,max_night_bout_mean_Z,-0.7777777777777778,large
Iso_vs_Rye,Iso,Rye,mean_night_bout_mean_Z,-0.5555555555555556,large
Iso_vs_Rye,Iso,Rye,sleep_latency_mean_Z,0.1111111111111111,negligible
Iso_vs_Rye,Iso,Rye,mean_wake_bout_mean_Z,1.0,large
Iso_vs_SSS,Iso,SSS,night_sleep_mean_Z,-1.0,large
Iso_vs_SSS,Iso,SSS,total_sleep_mean_Z,-1.0,large
Iso_vs_SSS,Iso,SSS,frag_bouts_per_min_sleep_mean_Z,0.7142857142857143,large
Iso_vs_SSS,Iso,SSS,max_bout_mean_Z,-0.9047619047619048,large
Iso_vs_SSS,Iso,SSS,P_wake_mean_Z,0.7142857142857143,large
Iso_vs_SSS,Iso,SSS,mean_bout_mean_Z,-0.7142857142857143,large
Iso_vs_SSS,Iso,SSS,max_night_bout_mean_Z,-0.9047619047619048,large
Iso_vs_SSS,Iso,SSS,mean_night_bout_mean_Z,-0.8095238095238095,large
Iso_vs_SSS,Iso,SSS,sleep_latency_mean_Z,0.5238095238095238,large
Iso_vs_SSS,Iso,SSS,mean_wake_bout_mean_Z,1.0,large
Rye_vs_SSS,Rye,SSS,night_sleep_mean_Z,-0.8095238095238095,large
Rye_vs_SSS,Rye,SSS,total_sleep_mean_Z,-0.7142857142857143,large
Rye_vs_SSS,Rye,SSS,frag_bouts_per_min_sleep_mean_Z,0.42857142857142855,medium
Rye_vs_SSS,Rye,SSS,max_bout_mean_Z,-0.7142857142857143,large
Rye_vs_SSS,Rye,SSS,P_wake_mean_Z,0.42857142857142855,medium
Rye_vs_SSS,Rye,SSS,mean_bout_mean_Z,-0.42857142857142855,medium
Rye_vs_SSS,Rye,SSS,max_night_bout_mean_Z,-0.7142857142857143,large
Rye_vs_SSS,Rye,SSS,mean_night_bout_mean_Z,-0.42857142857142855,medium
Rye_vs_SSS,Rye,SSS,sleep_latency_mean_Z,0.7142857142857143,large
Rye_vs_SSS,Rye,SSS,mean_wake_bout_mean_Z,0.6190476190476191,large
